A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
1.060374,1.45939,1.1661935,1.523452,3.074458,1.784814,1.259473,1.817854,1.260493,1.468581,2.316845
1.9244775,1.0178085,0.9769885,1.4415465,4.8815385,0.353398,0.837748,3.656303,0.8734615,2.9018495,2.3651565
9.842109,9.394952,9.8720575,10.4221865,8.6370145,9.0447845,8.707473,9.739117,10.2082125,10.214776,9.6505525
0.1049135,0.1441665,0.0762425,0.077103,0.19324,0.15853,0.136237,0.25827,0.1253995,0.1782315,0.174515
10.754343,8.07536,10.350242,7.954032,8.466521,7.2957995,8.280341,11.1634645,9.9661225,8.2351495,9.346728
0.109303,0.166292,0.138901,0.050588,0.1361215,0.056903,0.120614,0.118621,0.171775,0.0618795,0.123268
0.3850975,0.3485865,0.2656175,0.2882705,0.8456525,0.469334,0.344253,0.4901955,0.368602,0.671485,0.470078
35.3551375,38.590584,37.9020375,32.964581,38.058741,33.7849035,41.3905615,35.469613,41.757553,42.0785695,38.792231
91.6564235,90.940132,87.963541,101.4882245,79.126843,77.1146215,80.8533385,74.3845145,99.6296375,64.201446,84.1616265
4.465661,3.475097,3.428493,4.05061,3.9253365,4.2000165,3.580352,4.049374,3.5458475,5.2878415,3.086863
2.813706,3.0590105,3.369803,3.3103455,1.78656,2.7732385,1.258363,2.486431,0.9240515,2.18591,1.3307935
6.199445,6.98729,7.0068395,9.0666525,5.4543185,8.3641205,6.7202255,4.7573955,7.0748555,3.1475575,6.665506
1.369115,1.388247,1.33426,1.5916825,1.41001,1.454517,1.4647185,1.5753365,1.3869385,1.5741275,1.489864
5.3423215,5.3526765,4.961776,5.800146,5.913805,5.077182,4.1562815,5.8558795,5.4215355,6.049392,4.9765145
0,0.0172845,0,0,0.003246,0,0,0,0,0,0
0.0834105,0.036367,0,0.0119015,0.044852,0,0.0284535,0,0,0.0508465,0.2387285
